N(bp),seed1,seed2,nProtein,pca1,pca2,pca3,positions
105,261892,5004,2,51.60867926046385, 23.077173759610435, 5.349822794967161,13, 65
105,981708,35007,2,45.935890011623485, 28.551174474253948, 4.606243940707127,12, 64
105,827750,80003,2,49.54450690204562, 24.382741739712593, 6.893185066651917,36, 89
105,468402,20012,2,44.803487463626006, 27.55403043386593, 4.194773610831904,19, 71
105,400069,210000,2,49.919162594650096, 20.8149948896474, 4.865128616660044,34, 87
105,196090,40000,2,46.05525227578671, 24.672951954126862, 4.1242729001019045,23, 75
105,160110,25003,2,50.04641851174901, 24.31856882952965, 3.2968782188960257,13, 66
105,821921,85007,4,35.40106603560914, 31.283461249759604, 14.899445237074966,14, 42, 56, 86
105,797288,190003,2,47.54246404557379, 27.349845555817424, 3.6546453482598342,6, 58
105,609247,125007,2,47.616868861055806, 27.62893662714393, 3.7866457296844276,19, 71
105,336216,140007,2,49.89891002135642, 25.599271951295357, 3.819334763249537,2, 55
105,404322,19,2,47.92576615902562, 24.73187663264467, 5.100194782726032,1, 53
105,422388,205007,2,47.85104060270738, 26.37798829298934, 3.8096852402347676,3, 65
105,926086,150008,2,46.253457574557636, 28.7819587627727, 3.069959942151305,9, 62
105,574373,55017,2,48.23947751492336, 21.721708826757737, 8.046295652519996,11, 63
105,641549,10029,2,46.635817015081564, 26.270919304476177, 2.837646558314083,6, 59
105,638720,230010,2,46.75481142140135, 23.937859054223413, 5.543501388299155,30, 83
105,427561,220015,2,49.133057785971516, 30.91351908892388, 2.346882267545466,8, 71
105,153012,75021,2,49.971054896470555, 22.081913353939136, 6.455110543589869,26, 78
105,15857,155026,2,46.838789972649934, 28.89956467415867, 5.7642249987041305,21, 73
105,176217,115030,2,47.326772873570285, 27.492100664417748, 3.3350559630023975,33, 86
105,87314,30040,2,48.7654767750179, 27.404091436756705, 3.578475484539999,27, 79
105,118789,15046,2,49.51845304300001, 26.91237246769907, 5.430168186652054,33, 85
105,450875,90041,2,50.84854585555799, 25.88725402166658, 3.04164046078072,32, 85
105,467526,110042,2,48.98049481349268, 29.955819948969523, 4.358345851259281,2, 54
105,861594,105043,2,48.13222872422253, 27.31731018058242, 3.9251982199944977,37, 90
105,473678,70050,2,46.64009837523036, 21.70105531765652, 3.987210726316456,8, 61
105,975438,165050,3,43.40474567603329, 25.841858052255073, 11.513843511729705,23, 47, 87
105,586932,95057,2,50.44366560977312, 24.616256162820157, 5.082498628944985,12, 65
105,14460,50060,2,50.68259179155834, 26.48811800565675, 3.966312871593478,8, 61
105,875004,200049,2,46.91511050109571, 26.85624663076211, 3.9710253927716024,8, 60
105,523223,195057,3,45.417815966068765, 28.260784091605505, 8.480924628681892,7, 48, 72
105,293492,235049,2,50.87309173636824, 21.326242242550222, 2.699457883779897,29, 82
105,444628,100063,2,45.55707671964434, 30.681915271426462, 4.622839139956661,3, 46
105,447071,160062,2,46.60097831201628, 27.265657394902764, 4.913828055569719,30, 82
105,60089,65067,2,47.34458470040074, 24.595424669757787, 2.501131398593128,28, 80
105,270881,45073,2,48.08451839010864, 23.98018458624995, 3.33903308786658,36, 89
105,681920,60050,2,48.190876311904844, 28.059326528045872, 4.5421574629433366,33, 86
105,898729,130071,2,47.18387613393244, 24.731371808896323, 5.027090657579861,6, 58
105,217931,185067,2,46.97754462284916, 23.053409805933292, 2.98711047131836,17, 69
105,898729,120074,2,50.60454842039363, 23.571731798334635, 2.6564505483505143,6, 59
105,272819,225078,2,45.95097057184415, 24.350933749021443, 4.697115445349347,39, 81
105,907799,180082,2,48.96107717565426, 23.130997472786117, 4.523510168991679,21, 73
