Sequence,Lac,Proteins,Orientation,Seed1,Seed2,Energy,nProteins,Tw,Wr,Lk,Angle
105,minicircle,HU+87,MC,261892,5004,310.156,2,9.900,0.100,10.000,0.000
105,minicircle,HU+87,MC,196090,40000,274.645,2,9.880,0.120,9.000,0.000
105,minicircle,HU+87,MC,160110,25003,300.864,2,9.900,0.100,10.000,0.000
105,minicircle,HU+87,MC,981708,35007,326.797,2,10.083,-0.083,10.000,0.000
105,minicircle,HU+87,MC,827750,80003,311.944,2,10.000,0.000,10.000,0.000
105,minicircle,HU+87,MC,468402,20012,293.659,2,10.103,-0.103,10.000,0.000
105,minicircle,HU+87,MC,400069,210000,341.621,2,10.148,-0.148,10.000,0.000
105,minicircle,HU+87,MC,821921,85007,283.804,4,9.755,0.245,10.000,0.000
105,minicircle,HU+87,MC,797288,190003,318.936,2,10.008,-0.008,10.000,0.000
105,minicircle,HU+87,MC,609247,125007,309.970,2,10.118,-0.118,10.000,0.000
105,minicircle,HU+87,MC,336216,140007,337.358,2,10.034,-0.034,10.000,0.000
105,minicircle,HU+87,MC,404322,19,300.326,2,9.858,0.142,10.000,0.000
105,minicircle,HU+87,MC,422388,205007,312.706,2,10.004,-0.004,10.000,0.000
105,minicircle,HU+87,MC,926086,150008,333.399,2,9.930,0.070,10.000,0.000
105,minicircle,HU+87,MC,574373,55017,312.461,2,9.849,0.151,10.000,0.000
105,minicircle,HU+87,MC,641549,10029,307.728,2,10.113,-0.113,10.000,0.000
105,minicircle,HU+87,MC,638720,230010,298.832,2,10.071,-0.071,10.000,0.000
105,minicircle,HU+87,MC,427561,220015,314.195,2,10.001,-0.001,10.000,0.000
105,minicircle,HU+87,MC,153012,75021,297.563,2,9.887,0.113,10.000,0.000
105,minicircle,HU+87,MC,15857,155026,321.046,2,9.939,0.061,10.000,0.000
105,minicircle,HU+87,MC,176217,115030,319.189,2,9.931,0.069,10.000,0.000
105,minicircle,HU+87,MC,87314,30040,339.912,2,10.019,-0.019,10.000,0.000
105,minicircle,HU+87,MC,118789,15046,299.438,2,9.934,0.066,10.000,0.000
105,minicircle,HU+87,MC,450875,90041,311.045,2,10.031,-0.031,10.000,0.000
105,minicircle,HU+87,MC,467526,110042,333.007,2,10.059,-0.059,10.000,0.000
105,minicircle,HU+87,MC,861594,105043,331.054,2,10.079,-0.079,10.000,0.000
105,minicircle,HU+87,MC,473678,70050,297.658,2,9.899,0.101,10.000,0.000
105,minicircle,HU+87,MC,975438,165050,270.513,3,9.922,0.078,10.000,0.000
105,minicircle,HU+87,MC,586932,95057,306.468,2,10.086,-0.086,10.000,0.000
105,minicircle,HU+87,MC,14460,50060,295.078,2,10.099,-0.099,10.000,0.000
105,minicircle,HU+87,MC,875004,200049,305.112,2,10.105,-0.105,10.000,0.000
105,minicircle,HU+87,MC,523223,195057,304.223,3,9.790,0.210,10.000,0.000
105,minicircle,HU+87,MC,293492,235049,283.097,2,10.079,-0.079,10.000,0.000
105,minicircle,HU+87,MC,444628,100063,333.224,2,9.982,0.018,10.000,0.000
