N(bp)	0HU	1HU	2HU	3HU	4HU	5HU	6HU	7HU	8HU	9HU	10HU	11HU
80	0	0	0.396624473	0.316455696	0.286919831	0	0	0	0	0	0	0
81	0	0	0.677419355	0	0.322580645	0	0	0	0	0	0	0
82	0	0	0.996941896	0.001019368	0.002038736	0	0	0	0	0	0	0
83	0	0	0.994906818	0.004977428	0.000115754	0	0	0	0	0	0	0
84	0	0	0.98862335	0.011301556	7.51E-05	0	0	0	0	0	0	0
85	0	6.80E-06	0.965030207	0.034663637	0.000299352	0	0	0	0	0	0	0
86	0	4.05E-06	0.90806349	0.091296261	0.000636197	0	0	0	0	0	0	0
87	0	0	0.789003267	0.208786383	0.00221035	0	0	0	0	0	0	0
88	0	9.14E-06	0.659403209	0.332511055	0.0080766	0	0	0	0	0	0	0
89	0	0	0.529595991	0.436611337	0.033792671	0	0	0	0	0	0	0
90	0	0	0.406341321	0.468147282	0.125511397	0	0	0	0	0	0	0
91	0	0	0.240594059	0.38019802	0.379207921	0	0	0	0	0	0	0
92	0	0	0.765765766	0.04954955	0.184684685	0	0	0	0	0	0	0
93	0	0	0.987427241	0.008847497	0.003725262	0	0	0	0	0	0	0
94	0	0	0.981748744	0.017085427	0.001165829	0	0	0	0	0	0	0
95	0	2.33E-05	0.958314375	0.040600609	0.001061683	0	0	0	0	0	0	0
96	0	1.11E-05	0.907330911	0.090938248	0.001719781	0	0	0	0	0	0	0
97	0	0	0.803580674	0.193227185	0.00319214	0	0	0	0	0	0	0
98	0	0	0.669178362	0.321999309	0.008822329	0	0	0	0	0	0	0
99	0	0	0.533598703	0.440384102	0.026017194	0	0	0	0	0	0	0
100	0	0	0.424481378	0.495481014	0.080037608	0	0	0	0	0	0	0
101	0	0	0.327829336	0.451247439	0.220682174	0.000241051	0	0	0	0	0	0
102	0	0	0.350655022	0.270305677	0.37860262	0.000436681	0	0	0	0	0	0
103	0	0	0.835588633	0.042963464	0.121447903	0	0	0	0	0	0	0
104	0	0	0.968553875	0.019752923	0.011693202	0	0	0	0	0	0	0
105	0	5.68E-05	0.962101555	0.033750639	0.004090987	0	0	0	0	0	0	0
106	7.60E-06	3.80E-05	0.927862398	0.066285115	0.005791682	1.52E-05	0	0	0	0	0	0
107	0	1.46E-05	0.860910104	0.132680919	0.006389512	4.87E-06	0	0	0	0	0	0
108	0	0	0.766671563	0.222551625	0.01077236	4.45E-06	0	0	0	0	0	0
109	0	6.23E-06	0.643128024	0.33491503	0.021938264	1.25E-05	0	0	0	0	0	0
110	0	0	0.531035633	0.413621856	0.055294874	4.76E-05	0	0	0	0	0	0
111	0	0	0.413273954	0.453321812	0.133271295	0.000132939	0	0	0	0	0	0
112	0	0	0.316561213	0.367279301	0.314552576	0.001506478	0.000100432	0	0	0	0	0
113	0	0.000223364	0.420594148	0.189189189	0.389099844	0.000893455	0	0	0	0	0	0
114	0	0.000112486	0.848706412	0.05095613	0.099662542	0.000449944	0.000112486	0	0	0	0	0
115	0	0.0001021	0.932273764	0.045774768	0.021781302	6.81E-05	0	0	0	0	0	0
116	0	9.02E-05	0.9196516	0.068056486	0.012150183	5.15E-05	0	0	0	0	0	0
117	0	6.27E-05	0.875486842	0.112759272	0.011677245	1.39E-05	0	0	0	0	0	0
118	0	3.68E-05	0.802610612	0.182264248	0.015046254	4.21E-05	0	0	0	0	0	0
119	0	2.77E-05	0.699383854	0.276905873	0.023627234	5.54E-05	0	0	0	0	0	0
120	0	8.05E-06	0.578542057	0.377111313	0.044209832	0.000120704	8.05E-06	0	0	0	0	0
121	0	0	0.469054003	0.436346346	0.094147543	0.000405338	4.68E-05	0	0	0	0	0
122	0	0	0.368729253	0.429599791	0.200552012	0.001118944	0	0	0	0	0	0
123	0	0	0.314278022	0.323880463	0.358521045	0.003140985	0.000179485	0	0	0	0	0
124	0	0	0.59281127	0.130205096	0.273254609	0.003314688	0.000414336	0	0	0	0	0
125	0	0.000775715	0.847856441	0.065263485	0.084346072	0.001706573	5.17E-05	0	0	0	0	0
126	1.93E-05	0.000444848	0.898516527	0.065972961	0.034466085	0.000560896	1.93E-05	0	0	0	0	0
127	0	0.000180567	0.877716028	0.100896816	0.020855486	0.000331039	2.01E-05	0	0	0	0	0
128	6.45E-06	0.000167779	0.830537021	0.147871146	0.02124337	0.000167779	6.45E-06	0	0	0	0	0
129	0	0.000116007	0.74904149	0.225106292	0.0255564	0.000174011	5.80E-06	0	0	0	0	0
130	0	6.61E-05	0.657074848	0.301077757	0.041325046	0.000423168	3.31E-05	0	0	0	0	0
131	0	2.06E-05	0.547038184	0.380400671	0.071480754	0.001018655	4.12E-05	0	0	0	0	0
132	0	0	0.451547524	0.401863848	0.144486116	0.001913096	0.000189415	0	0	0	0	0
133	0	0	0.333582337	0.392347278	0.269007304	0.004855578	0.000207503	0	0	0	0	0
134	0	0	0.355518464	0.257597886	0.376799499	0.008901871	0.00118228	0	0	0	0	0
135	6.28E-05	0.000627668	0.628483555	0.131559126	0.231672106	0.00696711	0.000627668	0	0	0	0	0
136	3.07E-05	0.001259291	0.806161312	0.091928251	0.097395417	0.002702869	0.000522145	0	0	0	0	0
137	0	0.000707544	0.846718955	0.108419769	0.042738645	0.001309708	0.000105379	0	0	0	0	0
138	0	0.00048029	0.821323013	0.14321868	0.033888129	0.000969816	0.000120072	0	0	0	0	0
139	0	0.000381264	0.770189361	0.196358219	0.032308626	0.000727227	3.53E-05	0	0	0	0	0
140	0	0.000153014	0.691948699	0.264198973	0.042816008	0.00082071	5.56E-05	0	6.96E-06	0	0	0
141	0	6.10E-05	0.598256321	0.334333043	0.065588492	0.001734961	2.62E-05	0	0	0	0	0
142	0	4.02E-05	0.4939491	0.385997829	0.117024271	0.002747363	0.000241232	0	0	0	0	0
143	0	0	0.390629183	0.402044542	0.200924912	0.005914567	0.000486796	0	0	0	0	0
144	0	0	0.33858004	0.331044876	0.3191142	0.010507368	0.000753516	0	0	0	0	0
145	0	0.000654772	0.430621487	0.215801822	0.338626071	0.013586512	0.000709336	0	0	0	0	0
146	0.00014622	0.001060097	0.669944436	0.125566603	0.19348589	0.009029098	0.000767656	0	0	0	0	0
147	4.30E-05	0.001377559	0.779913472	0.121009923	0.092102714	0.005294991	0.000236768	2.15E-05	0	0	0	0
148	9.90E-05	0.001076786	0.799371256	0.136776573	0.059792564	0.002623892	0.000259914	0	0	0	0	0
149	0	0.000961838	0.771670303	0.179151267	0.046034644	0.002083983	8.91E-05	8.91E-06	0	0	0	0
