N(bp),J(1HU/100),2HUpro,3HUpro,4HUpro,2HUconfig,3HUconfig,4HUconfig
80,1.84E-08,0.396624473,0.316455696,0.286919831,9.40E+01,7.50E+01,7.50E+01
81,4.81E-09,0.677419355,0,0.322580645,4.20E+01,0.00E+00,0.00E+00
82,7.61E-08,0.996941896,0.001019368,0.002038736,9.78E+02,1.00E+00,1.00E+00
83,6.70E-07,0.994906818,0.004977428,0.000115754,8.59E+03,4.30E+01,4.30E+01
84,4.13E-06,0.98862335,0.011301556,7.51E-05,5.26E+04,6.02E+02,6.02E+02
85,1.14E-05,0.965030207,0.034663637,0.000299352,1.42E+05,5.09E+03,5.09E+03
86,1.91E-05,0.90806349,0.091296261,0.000636197,2.24E+05,2.25E+04,2.25E+04
87,1.61E-05,0.789003267,0.208786383,0.00221035,1.63E+05,4.33E+04,4.33E+04
88,8.49E-06,0.659403209,0.332511055,0.0080766,7.22E+04,3.64E+04,3.64E+04
89,2.48E-06,0.529595991,0.436611337,0.033792671,1.69E+04,1.39E+04,1.39E+04
90,5.31E-07,0.406341321,0.468147282,0.125511397,2.78E+03,3.20E+03,3.20E+03
91,7.83E-08,0.240594059,0.38019802,0.379207921,2.43E+02,3.84E+02,3.84E+02
92,5.17E-08,0.765765766,0.04954955,0.184684685,5.10E+02,3.30E+01,3.30E+01
93,3.33E-07,0.987427241,0.008847497,0.003725262,4.24E+03,3.80E+01,3.80E+01
94,1.93E-06,0.981748744,0.017085427,0.001165829,2.44E+04,4.25E+02,4.25E+02
95,6.65E-06,0.958314375,0.040600609,0.001061683,8.21E+04,3.48E+03,3.48E+03
96,1.40E-05,0.907330911,0.090938248,0.001719781,1.64E+05,1.64E+04,1.64E+04
97,1.81E-05,0.803580674,0.193227185,0.00319214,1.88E+05,4.51E+04,4.51E+04
98,1.48E-05,0.669178362,0.321999309,0.008822329,1.28E+05,6.15E+04,6.15E+04
99,7.56E-06,0.533598703,0.440384102,0.026017194,5.20E+04,4.29E+04,4.29E+04
100,2.56E-06,0.424481378,0.495481014,0.080037608,1.40E+04,1.63E+04,1.63E+04
101,6.44E-07,0.327829336,0.451247439,0.220682174,2.72E+03,3.74E+03,3.74E+03
102,1.78E-07,0.350655022,0.270305677,0.37860262,8.03E+02,6.19E+02,6.19E+02
103,2.29E-07,0.835588633,0.042963464,0.121447903,2.47E+03,1.27E+02,1.27E+02
104,1.17E-06,0.968553875,0.019752923,0.011693202,1.47E+04,2.99E+02,2.99E+02
105,4.10E-06,0.962101555,0.033750639,0.004090987,5.08E+04,1.78E+03,1.78E+03
106,1.02E-05,0.927862398,0.066285115,0.005791682,1.22E+05,8.72E+03,8.72E+03
107,1.59E-05,0.860910104,0.132680919,0.006389512,1.77E+05,2.73E+04,2.73E+04
108,1.74E-05,0.766671563,0.222551625,0.01077236,1.72E+05,5.00E+04,5.00E+04
109,1.25E-05,0.643128024,0.33491503,0.021938264,1.03E+05,5.38E+04,5.38E+04
110,6.51E-06,0.531035633,0.413621856,0.055294874,4.46E+04,3.47E+04,3.47E+04
111,2.33E-06,0.413273954,0.453321812,0.133271295,1.24E+04,1.36E+04,1.36E+04
112,7.72E-07,0.316561213,0.367279301,0.314552576,3.15E+03,3.66E+03,3.66E+03
113,3.47E-07,0.420594148,0.189189189,0.389099844,1.88E+03,8.47E+02,8.47E+02
114,6.90E-07,0.848706412,0.05095613,0.099662542,7.54E+03,4.53E+02,4.53E+02
115,2.28E-06,0.932273764,0.045774768,0.021781302,2.74E+04,1.34E+03,1.34E+03
116,6.02E-06,0.9196516,0.068056486,0.012150183,7.14E+04,5.28E+03,5.28E+03
117,1.11E-05,0.875486842,0.112759272,0.011677245,1.26E+05,1.62E+04,1.62E+04
118,1.47E-05,0.802610612,0.182264248,0.015046254,1.53E+05,3.46E+04,3.46E+04
119,1.40E-05,0.699383854,0.276905873,0.023627234,1.26E+05,5.00E+04,5.00E+04
120,9.64E-06,0.578542057,0.377111313,0.044209832,7.19E+04,4.69E+04,4.69E+04
121,4.98E-06,0.469054003,0.436346346,0.094147543,3.01E+04,2.80E+04,2.80E+04
122,2.08E-06,0.368729253,0.429599791,0.200552012,9.88E+03,1.15E+04,1.15E+04
123,8.64E-07,0.314278022,0.323880463,0.358521045,3.50E+03,3.61E+03,3.61E+03
124,7.49E-07,0.59281127,0.130205096,0.273254609,5.72E+03,1.26E+03,1.26E+03
125,1.50E-06,0.847856441,0.065263485,0.084346072,1.64E+04,1.26E+03,1.26E+03
126,4.01E-06,0.898516527,0.065972961,0.034466085,4.64E+04,3.41E+03,3.41E+03
127,7.73E-06,0.877716028,0.100896816,0.020855486,8.75E+04,1.01E+04,1.01E+04
128,1.20E-05,0.830537021,0.147871146,0.02124337,1.29E+05,2.29E+04,2.29E+04
129,1.34E-05,0.74904149,0.225106292,0.0255564,1.29E+05,3.88E+04,3.88E+04
130,1.17E-05,0.657074848,0.301077757,0.041325046,9.94E+04,4.55E+04,4.55E+04
131,7.54E-06,0.547038184,0.380400671,0.071480754,5.32E+04,3.70E+04,3.70E+04
132,4.09E-06,0.451547524,0.401863848,0.144486116,2.38E+04,2.12E+04,2.12E+04
133,1.87E-06,0.333582337,0.392347278,0.269007304,8.04E+03,9.45E+03,9.45E+03
134,1.12E-06,0.355518464,0.257597886,0.376799499,5.11E+03,3.70E+03,3.70E+03
135,1.24E-06,0.628483555,0.131559126,0.231672106,1.00E+04,2.10E+03,2.10E+03
136,2.53E-06,0.806161312,0.091928251,0.097395417,2.62E+04,2.99E+03,2.99E+03
137,5.15E-06,0.846718955,0.108419769,0.042738645,5.62E+04,7.20E+03,7.20E+03
138,8.40E-06,0.821323013,0.14321868,0.033888129,8.89E+04,1.55E+04,1.55E+04
139,1.10E-05,0.770189361,0.196358219,0.032308626,1.09E+05,2.78E+04,2.78E+04
140,1.12E-05,0.691948699,0.264198973,0.042816008,9.95E+04,3.80E+04,3.80E+04
141,8.90E-06,0.598256321,0.334333043,0.065588492,6.86E+04,3.83E+04,3.83E+04
142,5.79E-06,0.4939491,0.385997829,0.117024271,3.68E+04,2.88E+04,2.88E+04
143,3.19E-06,0.390629183,0.402044542,0.200924912,1.60E+04,1.65E+04,1.65E+04
144,1.85E-06,0.33858004,0.331044876,0.3191142,8.09E+03,7.91E+03,7.91E+03
145,1.42E-06,0.430621487,0.215801822,0.338626071,7.89E+03,3.95E+03,3.95E+03
146,2.12E-06,0.669944436,0.125566603,0.19348589,1.83E+04,3.43E+03,3.43E+03
147,3.60E-06,0.779913472,0.121009923,0.092102714,3.62E+04,5.62E+03,5.62E+03
148,6.27E-06,0.799371256,0.136776573,0.059792564,6.46E+04,1.10E+04,1.10E+04
149,8.71E-06,0.771670303,0.179151267,0.046034644,8.66E+04,2.01E+04,2.01E+04
