N(bp),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003097893,0.042131351,0.11771995,0.289343247,0.17905824,0.035315985,0,0,0,0,0,0,0.004956629,0.08488228,0.187112763,0.05638166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079365079,0.111111111,0.126984127,0.26984127,0.079365079,0,0,0,0,0,0,0,0.031746032,0.126984127,0.142857143,0.031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0,0,0,0.166666667,0.444444444,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008210181,0,0,0,0,0,0.003284072,0.019704433,0.137931034,0.16091954,0.003284072,0,0,0,0,0.027914614,0.431855501,0.19047619,0.008210181,0,0,0,0,0,0,0.003284072,0.004926108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001407095,0,0,0,0,0,0.003036362,0.032141006,0.155446938,0.138191513,0.003999111,0,0,0,0,0.002666074,0.175368437,0.417759017,0.065615049,0.002073613,0,0,0,0,0,0,0.000814634,0.001407095,7.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274424,0,0,0,0,1.66E-05,0.002669394,0.03183315,0.149527659,0.142309483,0.007492599,1.66E-05,0,0,0,0.000182949,0.037695839,0.390371886,0.223638692,0.012839703,4.99E-05,0,0,0,0,0,1.66E-05,0.000607059,0.000449057,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105485,4.06E-06,0,0,0,2.64E-05,0.001811495,0.02999008,0.138117871,0.150857164,0.013676483,2.43E-05,0,0,0,1.01E-05,0.006187077,0.204104568,0.383109889,0.069542745,0.001044703,0,0,0,0,0,0,0.000170398,0.000981818,0.000233283,0,0,0,0,0,0,0,0,2.03E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E-05,1.20E-05,0,0,0,1.31E-05,0.001704394,0.027858144,0.126705352,0.155032013,0.023629451,0.000225501,0,0,0,3.28E-06,0.000918424,0.066025849,0.377881844,0.207833208,0.010185863,4.16E-05,0,0,0,0,0,3.28E-05,0.000752035,0.001072772,4.27E-05,0,0,0,0,0,0,0,1.09E-06,3.28E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-05,1.42E-05,0,0,0,2.07E-05,0.001712906,0.02481647,0.111931825,0.160626929,0.03574109,0.00118715,6.46E-06,0,0,0,0.000117552,0.017404211,0.229171592,0.35592535,0.057711759,0.000816408,0,0,0,0,0,1.29E-06,0.000316487,0.001884713,0.000560634,6.46E-06,0,0,0,0,0,0,0,2.58E-06,2.58E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28E-06,6.57E-06,0,0,0,6.57E-06,0.002193868,0.025521783,0.097154211,0.156283561,0.051920456,0.004364747,1.31E-05,0,0,0,2.96E-05,0.003379477,0.097485919,0.371597944,0.176130187,0.009750891,1.97E-05,0,0,0,0,0,0.000101811,0.00143521,0.002351512,0.000243033,0,0,0,0,0,0,0,3.28E-06,0,3.28E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
