N(bp),J(1HU/50),J(1HU/100),J(1HU/200),,2HU(1HU/50),3HU(1HU/50),4HU(1HU/50)
80,2.23E-07,1.84E-08,2.71E-09,,0.089645587,0.187282835,0.723071577
81,3.62E-08,4.81E-09,7.76E-10,,0.233404711,0.04496788,0.721627409
82,2.04E-07,7.61E-08,2.27E-08,,0.993909402,0.002283974,0.003806624
83,1.91E-06,6.70E-07,2.07E-07,,0.991590835,0.008246669,0.000162496
84,1.15E-05,4.13E-06,1.28E-06,,0.969342889,0.030260451,0.000389937
85,3.36E-05,1.14E-05,3.35E-06,,0.905975164,0.092624515,0.001395699
86,5.86E-05,1.91E-05,5.39E-06,,0.779147194,0.217484412,0.00336707
87,5.81E-05,1.61E-05,4.15E-06,,0.584043418,0.406249541,0.009705707
88,3.60E-05,8.49E-06,2.02E-06,,0.409674812,0.556262867,0.034060166
89,1.29E-05,2.48E-06,5.08E-07,,0.264939724,0.610866019,0.12418222
90,3.29E-06,5.31E-07,1.03E-07,,0.159783967,0.47852645,0.361689583
91,7.43E-07,7.83E-08,1.10E-08,,0.065108514,0.284536728,0.650146077
92,2.31E-07,5.17E-08,1.42E-08,,0.391406512,0.072843236,0.535750252
93,8.10E-07,3.33E-07,9.73E-08,,0.953726768,0.022322284,0.023950948
94,4.70E-06,1.93E-06,5.64E-07,,0.95502073,0.041312212,0.003667058
95,1.68E-05,6.65E-06,1.98E-06,,0.899705588,0.095563456,0.004726327
96,3.81E-05,1.40E-05,4.18E-06,,0.780207729,0.211127049,0.008661153
97,5.61E-05,1.81E-05,5.15E-06,,0.601506566,0.381512761,0.016977908
98,5.39E-05,1.48E-05,3.85E-06,,0.42106521,0.539652032,0.039278439
99,3.35E-05,7.56E-06,1.75E-06,,0.276482938,0.620169068,0.103327138
100,1.40E-05,2.56E-06,5.04E-07,,0.17010378,0.567979288,0.261822485
101,4.71E-06,6.44E-07,1.05E-07,,0.090311202,0.365118349,0.544191336
102,1.51E-06,1.78E-07,3.37E-08,,0.078149838,0.165119737,0.754012615
103,8.62E-07,2.29E-07,6.84E-08,,0.484660369,0.060008997,0.452271705
104,2.73E-06,1.17E-06,4.99E-07,,0.882847804,0.058092937,0.058831889
105,9.26E-06,4.10E-06,1.38E-06,,0.878239666,0.095717314,0.025975985
106,2.37E-05,1.02E-05,3.27E-06,,0.810367128,0.160389992,0.029203684
107,4.05E-05,1.59E-05,4.79E-06,,0.683972722,0.281738448,0.034244833
108,4.95E-05,1.74E-05,5.04E-06,,0.528149756,0.417905954,0.053861183
109,4.18E-05,1.25E-05,3.28E-06,,0.375018109,0.529394175,0.095377838
110,2.54E-05,6.51E-06,1.57E-06,,0.254954636,0.55054156,0.193890198
111,1.18E-05,2.33E-06,4.64E-07,,0.150522771,0.463150516,0.38444657
112,5.20E-06,7.72E-07,1.45E-07,,0.08285497,0.279473378,0.633109186
113,2.45E-06,3.47E-07,6.94E-08,,0.116154407,0.133790085,0.740412979
114,2.16E-06,6.90E-07,2.15E-07,,0.493374511,0.082091428,0.416526017
115,4.99E-06,2.28E-06,7.66E-07,,0.766721576,0.105613228,0.125365202
116,1.26E-05,6.02E-06,2.03E-06,,0.769745485,0.157718327,0.071885474
