N(bp),J(1HU/100),2HUpro,3HUpro,4HUpro,2HUconfig,3HUconfig,4HUconfig
80,2.71E-09,0.8,0.142857143,0.057142857,2.80E+01,5.00E+00,2.00E+00
81,7.76E-10,1,0,0,1.00E+01,0.00E+00,0.00E+00
82,2.27E-08,1,0,0,2.93E+02,0.00E+00,0.00E+00
83,2.07E-07,0.997751967,0.002248033,0,2.66E+03,6.00E+00,0.00E+00
84,1.28E-06,0.995811328,0.004188672,0,1.64E+04,6.90E+01,0.00E+00
85,3.35E-06,0.984399267,0.01553119,6.95E-05,4.25E+04,6.70E+02,3.00E+00
86,5.39E-06,0.957717523,0.041980562,0.000258784,6.67E+04,2.92E+03,1.80E+01
87,4.15E-06,0.891181743,0.108089938,0.000728319,4.77E+04,5.79E+03,3.90E+01
88,2.02E-06,0.822147265,0.175131281,0.002721453,2.15E+04,4.57E+03,7.10E+01
89,5.08E-07,0.738466239,0.252062328,0.009471433,4.84E+03,1.65E+03,6.20E+01
90,1.03E-07,0.686555891,0.268126888,0.045317221,9.10E+02,3.55E+02,6.00E+01
91,1.10E-08,0.485915493,0.387323944,0.126760563,6.90E+01,5.50E+01,1.80E+01
92,1.42E-08,0.923497268,0.032786885,0.043715847,1.69E+02,6.00E+00,8.00E+00
93,9.73E-08,0.996812749,0.003187251,0,1.25E+03,4.00E+00,0.00E+00
94,5.64E-07,0.995183044,0.004679328,0.000137627,7.24E+03,3.40E+01,1.00E+00
95,1.98E-06,0.983534105,0.016348561,0.000117334,2.52E+04,4.18E+02,3.00E+00
96,4.18E-06,0.957223118,0.042517291,0.000259591,5.17E+04,2.29E+03,1.40E+01
97,5.15E-06,0.899653406,0.099638336,0.000708258,5.97E+04,6.62E+03,4.70E+01
98,3.85E-06,0.819800226,0.177863702,0.002336072,4.07E+04,8.84E+03,1.16E+02
99,1.75E-06,0.726177291,0.265272671,0.008550038,1.64E+04,5.99E+03,1.93E+02
100,5.04E-07,0.627251732,0.348575828,0.02417244,4.08E+03,2.27E+03,1.57E+02
101,1.05E-07,0.572801183,0.354028086,0.073170732,7.75E+02,4.79E+02,9.91E+01
102,3.37E-08,0.703448276,0.177011494,0.11954023,3.06E+02,7.70E+01,5.20E+01
103,6.84E-08,0.962585034,0.026077098,0.011337868,8.49E+02,2.30E+01,1.00E+01
104,4.99E-07,0.991757387,0.005598756,0.002643857,6.38E+03,3.60E+01,1.70E+01
105,1.38E-06,0.986688477,0.012239833,0.000846071,1.75E+04,2.17E+02,1.50E+01
106,3.27E-06,0.969011745,0.029137501,0.001803298,4.09E+04,1.23E+03,7.60E+01
107,4.79E-06,0.934205843,0.064499951,0.00126185,5.78E+04,3.99E+03,7.80E+01
108,5.04E-06,0.882776445,0.11405452,0.003153652,5.74E+04,7.42E+03,2.05E+02
109,3.28E-06,0.808595041,0.186328217,0.005053129,3.43E+04,7.90E+03,2.14E+02
110,1.57E-06,0.745732522,0.236702786,0.017564692,1.51E+04,4.79E+03,3.55E+02
111,4.64E-07,0.666833667,0.29258517,0.040581162,4.00E+03,1.75E+03,2.43E+02
112,1.45E-07,0.621114684,0.249196141,0.129689175,1.16E+03,4.65E+02,2.42E+02
113,6.94E-08,0.777653631,0.106145251,0.115083799,6.96E+02,9.51E+01,1.03E+02
114,2.15E-07,0.959161547,0.018431514,0.022406939,2.66E+03,5.10E+01,6.20E+01
115,7.66E-07,0.975698663,0.020453625,0.003442689,9.64E+03,2.02E+02,3.40E+01
116,2.03E-06,0.968327348,0.028845419,0.002636204,2.54E+04,7.55E+02,6.90E+01
117,3.64E-06,0.942353542,0.054964237,0.002469346,4.43E+04,2.58E+03,1.16E+02
118,4.57E-06,0.902367868,0.094154963,0.003426284,5.32E+04,5.55E+03,2.02E+02
119,4.07E-06,0.843658941,0.150437085,0.005827794,4.43E+04,7.90E+03,3.06E+02
120,2.53E-06,0.777245509,0.210287118,0.012436665,2.53E+04,6.85E+03,4.05E+02
121,1.17E-06,0.712653603,0.263035536,0.024244437,1.07E+04,3.96E+03,3.65E+02
122,4.21E-07,0.634856301,0.301768607,0.063190862,3.45E+03,1.64E+03,3.43E+02
123,1.61E-07,0.628365385,0.244230769,0.127403846,1.31E+03,5.08E+02,2.65E+02
124,2.10E-07,0.864994467,0.063445223,0.07156031,2.35E+03,1.72E+02,1.94E+02
125,5.10E-07,0.953120244,0.028310502,0.016133942,6.27E+03,1.86E+02,1.06E+02
126,1.46E-06,0.964193019,0.026431485,0.008051274,1.82E+04,4.99E+02,1.52E+02
127,2.70E-06,0.948086331,0.047107914,0.004115108,3.30E+04,1.64E+03,1.43E+02
128,4.09E-06,0.924781529,0.069910716,0.004985498,4.88E+04,3.69E+03,2.63E+02
129,4.24E-06,0.878290917,0.115785432,0.005557993,4.81E+04,6.34E+03,3.04E+02
130,3.56E-06,0.828243193,0.161990713,0.009613498,3.80E+04,7.44E+03,4.41E+02
131,2.03E-06,0.761138236,0.218950259,0.019758926,2.00E+04,5.74E+03,5.18E+02
132,1.02E-06,0.711468447,0.241429005,0.046647451,9.39E+03,3.18E+03,6.15E+02
133,3.84E-07,0.62712207,0.288601455,0.084074373,3.10E+03,1.43E+03,4.16E+02
134,2.46E-07,0.667717528,0.183165195,0.147225725,2.12E+03,5.81E+02,4.67E+02
135,3.59E-07,0.860379801,0.085239534,0.052438498,3.99E+03,3.95E+02,2.43E+02
136,9.01E-07,0.927224184,0.044871243,0.024373439,1.08E+04,5.21E+02,2.83E+02
137,1.88E-06,0.940943583,0.048581326,0.008660508,2.28E+04,1.18E+03,2.10E+02
138,3.06E-06,0.923270217,0.06766841,0.00774151,3.64E+04,2.67E+03,3.05E+02
139,3.76E-06,0.894150936,0.097856169,0.007146103,4.33E+04,4.74E+03,3.46E+02
140,3.61E-06,0.850475516,0.138017647,0.011184818,3.96E+04,6.43E+03,5.21E+02
141,2.70E-06,0.79930975,0.183951682,0.016335922,2.78E+04,6.40E+03,5.68E+02
142,1.60E-06,0.727096367,0.242591784,0.029972356,1.50E+04,5.00E+03,6.18E+02
143,7.85E-07,0.656883091,0.28550252,0.056626149,6.65E+03,2.89E+03,5.73E+02
144,4.22E-07,0.62580408,0.276787355,0.095754457,3.41E+03,1.51E+03,5.21E+02
145,3.57E-07,0.730276027,0.169311019,0.096718105,3.36E+03,7.79E+02,4.45E+02
146,7.32E-07,0.872854418,0.074698029,0.046090273,8.24E+03,7.05E+02,4.35E+02
147,1.32E-06,0.918311017,0.05896171,0.017383134,1.56E+04,1.00E+03,2.96E+02
148,2.40E-06,0.917899361,0.063658678,0.014533945,2.84E+04,1.97E+03,4.50E+02
149,3.17E-06,0.896653712,0.090122461,0.010119528,3.67E+04,3.69E+03,4.14E+02
