N(bp)	0HU	1HU	2HU	3HU	4HU	5HU	6HU	7HU	8HU	9HU	10HU	11HU
80	0	0	0.089645587	0.187282835	0.723071577	0	0	0	0	0	0	0
81	0	0	0.233404711	0.04496788	0.721627409	0	0	0	0	0	0	0
82	0	0	0.993909402	0.002283974	0.003806624	0	0	0	0	0	0	0
83	0	0	0.991590835	0.008246669	0.000162496	0	0	0	0	0	0	0
84	0	6.72E-06	0.969342889	0.030260451	0.000389937	0	0	0	0	0	0	0
85	0	4.62E-06	0.905975164	0.092624515	0.001395699	0	0	0	0	0	0	0
86	0	1.32E-06	0.779147194	0.217484412	0.00336707	0	0	0	0	0	0	0
87	0	1.33E-06	0.584043418	0.406249541	0.009705707	0	0	0	0	0	0	0
88	0	2.16E-06	0.409674812	0.556262867	0.034060166	0	0	0	0	0	0	0
89	0	0	0.264939724	0.610866019	0.12418222	1.20E-05	0	0	0	0	0	0
90	0	0	0.159783967	0.47852645	0.361689583	0	0	0	0	0	0	0
91	0	0	0.065108514	0.284536728	0.650146077	0.000208681	0	0	0	0	0	0
92	0	0	0.391406512	0.072843236	0.535750252	0	0	0	0	0	0	0
93	0	0	0.953726768	0.022322284	0.023950948	0	0	0	0	0	0	0
94	0	0	0.95502073	0.041312212	0.003667058	0	0	0	0	0	0	0
95	0	0	0.899705588	0.095563456	0.004726327	4.63E-06	0	0	0	0	0	0
96	0	4.07E-06	0.780207729	0.211127049	0.008661153	0	0	0	0	0	0	0
97	0	0	0.601506566	0.381512761	0.016977908	2.77E-06	0	0	0	0	0	0
98	0	0	0.42106521	0.539652032	0.039278439	4.32E-06	0	0	0	0	0	0
99	0	0	0.276482938	0.620169068	0.103327138	2.09E-05	0	0	0	0	0	0
100	0	0	0.17010378	0.567979288	0.261822485	7.78E-05	1.67E-05	0	0	0	0	0
101	0	0	0.090311202	0.365118349	0.544191336	0.000379113	0	0	0	0	0	0
102	0	0	0.078149838	0.165119737	0.754012615	0.002256295	0.000461515	0	0	0	0	0
103	0	0	0.484660369	0.060008997	0.452271705	0.002069276	0.000989654	0	0	0	0	0
104	0	2.84E-05	0.882847804	0.058092937	0.058831889	0.000170527	2.84E-05	0	0	0	0	0
105	0	3.35E-05	0.878239666	0.095717314	0.025975985	3.35E-05	0	0	0	0	0	0
106	3.27E-06	1.96E-05	0.810367128	0.160389992	0.029203684	1.63E-05	0	0	0	0	0	0
107	0	5.74E-06	0.683972722	0.281738448	0.034244833	3.83E-05	0	0	0	0	0	0
108	0	0	0.528149756	0.417905954	0.053861183	8.15E-05	1.57E-06	0	0	0	0	0
109	0	3.71E-06	0.375018109	0.529394175	0.095377838	0.000200592	5.57E-06	0	0	0	0	0
110	0	0	0.254954636	0.55054156	0.193890198	0.000564761	4.88E-05	0	0	0	0	0
111	0	0	0.150522771	0.463150516	0.38444657	0.001631204	0.000248939	0	0	0	0	0
112	0	0	0.08285497	0.279473378	0.633109186	0.003995885	0.000566581	0	0	0	0	0
113	0	0	0.116154407	0.133790085	0.740412979	0.00850065	0.001141878	0	0	0	0	0
