HU/200bp,2HU even,2HU uneven,3HU equilateral,3HU isosceles,3HU scalene,4HU or more
100,0.000615858,0.626635874,0.168203625,0.103047825,0.077324377,0.024172441
101,0.014042868,0.558758315,0.121465703,0.125168926,0.107393457,0.073170731
102,0.475115885,0.228332391,0.07816092,0.009195402,0.089655172,0.11954023
103,0.803667693,0.158917341,0.001133787,0.012471655,0.012471655,0.011337869
104,0.895163702,0.096593685,0,0.004199067,0.001399689,0.002643857
105,0.78390177,0.202786707,0,0.009701619,0.002538214,0.00107169
106,0.807683794,0.161327951,0,0.020192194,0.008945308,0.001850753
107,0.710595668,0.223610175,0,0.047254667,0.017245284,0.001294206
108,0.700646017,0.182130428,0,0.084594794,0.029459726,0.003169035
109,0.601080127,0.207514915,0,0.129563164,0.056765053,0.005076741
110,0.600257529,0.145474993,0,0.159467617,0.077235169,0.017564692
111,0.494946933,0.171886734,0,0.186372745,0.106212425,0.040581163
112,0.468917471,0.152197213,0,0.145543436,0.103652705,0.129689175
113,0.126256983,0.651396648,0,0.050814216,0.055331035,0.116201118
114,0.025307693,0.933853854,0,0.005059631,0.013371883,0.022406939
115,0.000708863,0.974989801,0,0.009315512,0.011138113,0.003847711
116,0.000420281,0.967907067,0,0.017269046,0.011576374,0.002827232
117,0,0.942353542,0,0.040935797,0.01402844,0.002682221
118,0.000169621,0.902198246,0,0.075089898,0.019065065,0.00347717
119,3.81E-05,0.84362085,0,0.123793018,0.026644067,0.005903965
120,0.000399217,0.776846292,0,0.171533855,0.038753263,0.012467373
121,0.000797152,0.711856452,0,0.212886084,0.050149452,0.02431086
122,0.026168242,0.608688058,0,0.228445099,0.073323508,0.063375093
123,0.145784618,0.482580766,0,0.165865385,0.078365385,0.127403846
124,0.669780272,0.195214195,0,0.036149023,0.027296201,0.071560309
125,0.733145998,0.219974246,0.001217656,0.013242009,0.013850837,0.018569254
126,0.738639021,0.225553998,0.00291329,0.007203771,0.016314423,0.009375497
127,0.682178979,0.265907352,0.009697842,0.008316547,0.029093525,0.004805755
128,0.653227425,0.271554104,0.018899399,0.007904764,0.043106553,0.005307755
129,0.60544993,0.272840987,0.03334796,0.012615182,0.06982229,0.005923651
130,0.568497512,0.259745681,0.052274759,0.011444641,0.098271314,0.009766093
131,0.515932173,0.245206063,0.07030058,0.013999085,0.134650595,0.019911504
132,0.503087615,0.208380832,0.063561893,0.02184466,0.156022451,0.047102549
133,0.392481811,0.234640259,0.07017849,0.023055757,0.195367208,0.084276475
134,0.259895722,0.407821806,0.031525851,0.023013871,0.128625473,0.149117277
135,0.029787359,0.830592443,0.004315926,0.025679758,0.05524385,0.054380664
136,0.012230918,0.914993266,0.00017225,0.0191198,0.025579192,0.027904574
137,0.000453666,0.940489917,0,0.026641372,0.021939954,0.010475091
138,0.001066073,0.922204143,0,0.043885476,0.023782933,0.009061375
139,0.000165232,0.893985704,0,0.069023917,0.028832252,0.007992895
140,0.000837272,0.849638243,0,0.098301883,0.039715764,0.011506838
141,0.000287615,0.799022135,0,0.127753811,0.056197872,0.016738567
142,0.00708132,0.720015047,0,0.170037344,0.07255444,0.030311849
143,0.017197962,0.639685129,0,0.189445597,0.096056923,0.057614389
144,0.159208676,0.466595404,0,0.170924462,0.105862893,0.097408565
145,0.407206609,0.323069418,0,0.090415127,0.078895892,0.100412954
146,0.584728746,0.288125672,0,0.036024581,0.038673448,0.052447553
147,0.585954785,0.332356232,0,0.032358468,0.026603242,0.022727273
148,0.565745635,0.352153726,0,0.035559718,0.02809896,0.018441961
149,0.534418519,0.362235193,0,0.053139742,0.036982719,0.013223827
