N(bp),PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU
100,38.76072884,29.46567632,8.633598899,44.41961675,24.0245026,7.676006729,38.67351813,32.08978867,6.560338924
101,37.86368324,27.89821026,11.18412352,44.70427477,22.76032604,8.783176723,39.05350001,31.3369361,7.439383238
102,37.86358563,25.7588438,12.94300123,45.79959376,22.27067141,7.925874236,39.85350908,29.59689299,8.635267416
103,42.17827268,24.26413308,9.915064853,46.88251085,24.36497994,5.307533009,41.02238177,26.27096139,10.46943337
104,46.40807784,25.25613091,5.665770637,47.32849204,25.25963028,4.693156489,42.47649313,27.51110901,9.411119158
105,46.92082641,26.30529171,5.088764371,47.66309847,25.96735017,4.487059435,42.64947597,29.85731099,7.867413391
106,46.81513634,27.28168337,5.303051086,48.11274772,26.26829653,4.640892281,42.237586,32.15111361,6.769031892
107,46.26365588,28.41477873,5.834641256,48.30244376,26.54307889,5.125732216,42.22297752,33.20375454,6.492510781
108,45.52598526,29.58276795,6.52500622,48.60585875,26.59250656,5.787583409,42.38935459,33.74779951,6.379806431
109,44.45708415,30.71777494,7.465742225,48.94925329,26.32207205,6.632793019,42.46690777,34.17650273,6.638204326
110,43.46723596,30.87903074,8.852585902,49.38895004,25.71550886,7.573637728,42.86558775,33.82379119,7.135834121
111,42.47892218,30.23808729,10.61030359,49.52973788,24.77526985,8.637976378,43.13197351,33.47191565,7.717779502
112,41.51644605,28.68138486,12.91923166,49.96179844,23.38689939,9.611287033,43.64814762,32.09895794,8.812680553
113,41.84273825,26.78894402,13.78384856,51.08215839,24.13943679,7.31289295,44.42807016,29.15285106,10.56119848
114,46.49911452,25.72836674,10.43992077,51.72393325,26.25955224,5.564348712,46.08210209,26.35744219,11.73815748
115,50.00419891,27.06706456,7.217280647,52.12221544,27.15320067,5.222845275,46.33386891,30.18647681,9.624300705
116,50.51379174,28.57361731,6.482834207,52.43814477,27.81155623,5.123592212,46.10294907,33.29883184,7.98064032
117,50.28691977,29.92457874,6.583545142,52.81351288,28.1764067,5.34236074,45.9492697,35.17395661,7.300422635
118,49.77774471,30.97548192,7.102654527,53.06955196,28.33243201,5.887667467,46.16144423,35.82393874,7.080882402
119,48.89673869,32.06313898,7.869183799,53.3478435,28.19934569,6.627343434,46.3779444,36.17952314,7.167926176
120,47.8490336,32.66136698,9.039169425,53.58265154,27.93697306,7.497344978,46.4822736,36.24759277,7.582046474
121,46.6137622,32.72534446,10.58096051,53.97995433,27.03910034,8.613924654,46.72133051,35.91778631,8.166596553
122,45.51225646,31.62733843,12.54351947,54.27744607,26.04162521,9.578846951,47.27096918,34.94803341,9.010297214
123,44.94760165,29.48304897,14.34708519,55.04747935,24.12237607,10.07301308,47.94848036,32.648433,10.4780945
124,46.26827348,27.65516462,14.27116732,56.21064839,26.49300632,7.159057405,49.00592093,28.90634021,12.2656127
125,50.87151373,27.37332309,11.07274133,56.73417795,27.93684409,5.992066873,50.65114102,28.59631099,12.04492473
126,53.59499009,28.93842597,8.600727851,57.15230002,28.87353352,5.643720377,50.45993277,32.83312285,9.92802922
127,54.11723509,30.59778301,7.910817265,57.41747563,29.53270242,5.648226694,50.06749686,35.54773187,8.797828401
128,53.85603684,32.00436411,7.978017796,57.76429852,29.60049222,6.079594509,49.84293853,37.37341462,8.174850495
129,53.31715383,33.28704137,8.469466505,58.07055466,29.63614541,6.778710044,49.95710406,38.21850205,8.051960276
