N(bp),PA1_50bp,PA2_50bp,PA3_50bp,PA1_100bp,PA2_100bp,PA3_100bp,PA1_200bp,PA2_200bp,PA3_200bp
100,38.67351813,32.08978867,6.560338924,38.63195475,32.22016703,6.653373966,38.62524901,32.21077033,6.659166875
101,39.05350001,31.3369361,7.439383238,39.41130877,31.1606371,7.471016773,39.40049563,31.1753339,7.47016205
102,39.85350908,29.59689299,8.635267416,39.68216377,29.83360529,8.587380119,40.06259692,29.46725911,8.653545982
103,41.02238177,26.27096139,10.46943337,41.18709699,25.99795194,10.68719845,41.98957221,24.52255794,10.79674794
104,42.47649313,27.51110901,9.411119158,41.92618401,27.58554888,10.02530272,42.54330984,26.91247243,9.808802267
105,42.64947597,29.85731099,7.867413391,42.16859683,30.3290443,7.903999837,41.93818234,30.42877812,8.1321937
106,42.237586,32.15111361,6.769031892,42.24618599,32.32150543,6.536673642,41.83172255,32.23939389,6.755022371
107,42.22297752,33.20375454,6.492510781,42.20565472,33.22879213,6.279816691,42.07723447,33.53455228,6.330339943
108,42.38935459,33.74779951,6.379806431,42.25723123,33.9180136,6.319559634,42.12763242,34.10181769,6.259557533
109,42.46690777,34.17650273,6.638204326,42.48078709,34.0057907,6.747640533,42.47861929,34.2524979,6.465919649
110,42.86558775,33.82379119,7.135834121,42.82711156,33.86830517,7.068684682,42.93176526,34.16352994,6.97155525
111,43.13197351,33.47191565,7.717779502,43.12948403,33.34791344,7.846963258,43.20620166,33.48346353,7.692318368
112,43.64814762,32.09895794,8.812680553,43.63765147,31.89976574,8.940745338,44.08789649,31.39112259,8.918558748
113,44.42807016,29.15285106,10.56119848,44.33804673,29.40667276,10.45047926,44.58571516,29.2929804,10.46446397
114,46.08210209,26.35744219,11.73815748,45.69048667,26.84928331,11.69284582,46.22559571,26.28503347,11.96300874
115,46.33386891,30.18647681,9.624300705,45.93450815,30.14987142,10.03931081,46.73742862,30.028397,10.10070635
116,46.10294907,33.29883184,7.98064032,45.85785033,33.68971008,8.011582006,46.18518021,33.2607885,8.326978296
117,45.9492697,35.17395661,7.300422635,45.90273666,34.95587066,7.399577833,46.2085257,34.88487996,7.359328291
118,46.16144423,35.82393874,7.080882402,46.13628836,35.81457785,7.076529674,45.9191866,35.90882099,7.353088595
119,46.3779444,36.17952314,7.167926176,46.37348091,36.07987245,7.221167248,46.27197066,36.3842458,7.003101352
120,46.4822736,36.24759277,7.582046474,46.56744948,36.43037179,7.338783478,46.58433767,36.33215973,7.546827928
121,46.72133051,35.91778631,8.166596553,46.95443054,35.89653302,8.072135953,46.98070345,35.8700704,8.02674915
122,47.27096918,34.94803341,9.010297214,47.26270039,34.97600017,8.887837722,47.34602409,34.70240665,9.053657671
123,47.94848036,32.648433,10.4780945,47.59092666,33.01507453,10.29662995,47.35228756,32.91075359,10.54309107
124,49.00592093,28.90634021,12.2656127,48.97253194,28.94775583,12.11449396,49.00546793,29.09588676,12.08118331
125,50.65114102,28.59631099,12.04492473,50.363754,28.7270791,12.00953775,50.54962651,28.66934335,11.91907246
126,50.45993277,32.83312285,9.92802922,50.45168275,32.70005123,10.09065994,49.9433693,33.63155611,10.01612312
127,50.06749686,35.54773187,8.797828401,49.94230945,35.71807976,8.931836145,49.86182604,36.12953192,8.67890429
128,49.84293853,37.37341462,8.174850495,50.18656505,36.92182495,8.114024903,49.85580891,37.47046281,7.98072209
129,49.95710406,38.21850205,8.051960276,50.17644896,38.14805445,7.895328634,50.01684029,38.29430232,7.749724253
