N(bp),PA1_50bp,PA2_50bp,PA3_50bp,PA1_100bp,PA2_100bp,PA3_100bp,PA1_200bp,PA2_200bp,PA3_200bp
100,38.76072884,29.46567632,8.633598899,40.87722256,28.31512533,7.603036321,42.21897656,26.91392726,7.499133652
101,37.86368324,27.89821026,11.18412352,40.34163572,27.35281507,9.361976446,42.28251954,26.02331116,8.695324035
102,37.86358563,25.7588438,12.94300123,40.62755608,25.36408379,10.63182208,43.83371961,24.16176355,8.53358254
103,42.17827268,24.26413308,9.915064853,45.46869712,24.36998091,6.659629558,46.70820017,24.4093212,5.551780189
104,46.40807784,25.25613091,5.665770637,47.06664713,25.3371686,4.981444009,47.26090811,24.91512086,4.616142661
105,46.92082641,26.30529171,5.088764371,47.37928957,26.18455829,4.696398175,47.5808964,26.00612065,4.548083109
106,46.81513634,27.28168337,5.303051086,47.44058535,26.92646138,4.929942106,47.78736872,26.62405667,4.828112545
107,46.26365588,28.41477873,5.834641256,47.45338689,27.5104145,5.341431755,47.89971497,27.02642205,5.246864383
108,45.52598526,29.58276795,6.52500622,47.15158623,28.11057474,6.100119994,47.85661627,27.36640206,5.983192153
109,44.45708415,30.71777494,7.465742225,46.72650585,28.67376355,6.93560552,47.73105279,27.63932315,6.724459463
110,43.46723596,30.87903074,8.852585902,45.92675059,29.20884825,7.905840176,47.51280512,27.59041561,7.783027993
111,42.47892218,30.23808729,10.61030359,45.25083402,29.05559828,9.178996176,47.25002228,27.28318837,8.781120739
112,41.51644605,28.68138486,12.91923166,44.35401418,27.79304648,11.22173167,47.04677622,25.68698055,10.48031347
113,41.84273825,26.78894402,13.78384856,45.46047634,26.16524439,11.09337334,49.05206093,25.03960534,8.719343749
114,46.49911452,25.72836674,10.43992077,50.31619933,26.07841798,6.951466301,51.28593023,26.17604202,6.17837799
115,50.00419891,27.06706456,7.217280647,51.51881529,27.3730443,5.628895587,52.01375976,27.18884848,5.272723849
116,50.51379174,28.57361731,6.482834207,51.82301185,28.37101528,5.425154796,52.24096835,27.95488995,5.222325707
117,50.28691977,29.92457874,6.583545142,51.83645619,29.05405538,5.742051442,52.39189988,28.49501894,5.530776421
118,49.77774471,30.97548192,7.102654527,51.65217561,29.66691277,6.346941561,52.42609644,28.99392545,6.105303777
119,48.89673869,32.06313898,7.869183799,51.32020194,30.21848695,7.062428566,52.31841333,29.31216652,6.810472308
120,47.8490336,32.66136698,9.039169425,50.65188278,30.84613849,7.921470897,52.06643071,29.43092941,7.767554695
121,46.6137622,32.72534446,10.58096051,49.81496745,31.02889042,9.122270024,51.7580086,29.20787692,8.796416468
122,45.51225646,31.62733843,12.54351947,48.90092898,30.3846682,10.64495037,51.50425852,28.29612813,10.01895478
123,44.94760165,29.48304897,14.34708519,48.1877941,28.8264014,12.37520606,51.55270524,26.7679762,11.04432278
124,46.26827348,27.65516462,14.27116732,51.57039664,26.92233995,10.48361143,54.9025289,26.31093654,8.171967948
125,50.87151373,27.37332309,11.07274133,55.2423362,27.91701279,7.223904248,56.35498319,27.94498723,6.33410642
126,53.59499009,28.93842597,8.600727851,56.19011698,29.04045262,6.351183951,56.76256083,28.89977204,5.935108234
127,54.11723509,30.59778301,7.910817265,56.38935829,30.09178437,6.276929522,57.0085779,29.86613306,5.8216082
128,53.85603684,32.00436411,7.978017796,56.34089054,30.86565621,6.622218407,57.1157977,30.29691205,6.287234828
129,53.31715383,33.28704137,8.469466505,55.90001539,31.72814696,7.250015289,57.0276899,30.69843831,6.992068007
