,1/50bp,,,,,,,,,1/100bp,,,,,,,,,1/200bp,,,,,,,,
N(bp),PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU,PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU,PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU
100,38.76072884,29.46567632,8.633598899,44.41961675,24.0245026,7.676006729,38.67351813,32.08978867,6.560338924,40.87722256,28.31512533,7.603036321,44.46737468,23.98627533,7.70630649,38.63195475,32.22016703,6.653373966,42.21897656,26.91392726,7.499133652,44.47184071,23.9842396,7.704268605,38.62524901,32.21077033,6.659166875
101,37.86368324,27.89821026,11.18412352,44.70427477,22.76032604,8.783176723,39.05350001,31.3369361,7.439383238,40.34163572,27.35281507,9.361976446,44.90658145,22.71548781,8.795986518,39.41130877,31.1606371,7.471016773,42.28251954,26.02331116,8.695324035,44.90658145,22.71548781,8.795986518,39.40049563,31.1753339,7.47016205
102,37.86358563,25.7588438,12.94300123,45.79959376,22.27067141,7.925874236,39.85350908,29.59689299,8.635267416,40.62755608,25.36408379,10.63182208,45.80311667,22.23554017,8.071360781,39.68216377,29.83360529,8.587380119,43.83371961,24.16176355,8.53358254,46.01401604,22.61031577,7.473513123,40.06259692,29.46725911,8.653545982
103,42.17827268,24.26413308,9.915064853,46.88251085,24.36497994,5.307533009,41.02238177,26.27096139,10.46943337,45.46869712,24.36998091,6.659629558,46.86632429,24.35483758,5.293588573,41.18709699,25.99795194,10.68719845,46.70820017,24.4093212,5.551780189,46.93101358,24.41969073,5.303545476,41.98957221,24.52255794,10.79674794
104,46.40807784,25.25613091,5.665770637,47.32849204,25.25963028,4.693156489,42.47649313,27.51110901,9.411119158,47.06664713,25.3371686,4.981444009,47.25647757,25.32481807,4.776232662,41.92618401,27.58554888,10.02530272,47.26090811,24.91512086,4.616142661,47.31040999,24.91306798,4.560014237,42.54330984,26.91247243,9.808802267
105,46.92082641,26.30529171,5.088764371,47.66309847,25.96735017,4.487059435,42.64947597,29.85731099,7.867413391,47.37928957,26.18455829,4.696398175,47.60226779,26.03098117,4.542309409,42.16859683,30.3290443,7.903999837,47.5808964,26.00612065,4.548083109,47.65799675,25.95247823,4.494291486,41.93818234,30.42877812,8.1321937
106,46.81513634,27.28168337,5.303051086,48.11274772,26.26829653,4.640892281,42.237586,32.15111361,6.769031892,47.44058535,26.92646138,4.929942106,47.89987483,26.52983522,4.730396968,42.24618599,32.32150543,6.536673642,47.78736872,26.62405667,4.828112545,47.95756682,26.48413669,4.756720802,41.83172255,32.23939389,6.755022371
107,46.26365588,28.41477873,5.834641256,48.30244376,26.54307889,5.125732216,42.22297752,33.20375454,6.492510781,47.45338689,27.5104145,5.341431755,48.23080588,26.70966759,5.167934854,42.20565472,33.22879213,6.279816691,47.89971497,27.02642205,5.246864383,48.26040002,26.64021848,5.165708385,42.07723447,33.53455228,6.330339943
108,45.52598526,29.58276795,6.52500622,48.60585875,26.59250656,5.787583409,42.38935459,33.74779951,6.379806431,47.15158623,28.11057474,6.100119994,48.55207242,26.59898359,5.915489747,42.25723123,33.9180136,6.319559634,47.85661627,27.36640206,5.983192153,48.56702542,26.58651609,5.908512814,42.12763242,34.10181769,6.259557533
