bp,0HU,1HU/200,1HU/500,1HU/1000,WT,TPM_09,TPM_12
70,,0.000047,0.00000096,0.00000028,3.85E-06,,
71,,0.000012,0.0000026,0.0000007,3.64E-06,,
72,,0.000009,0.00000095,0.00000029,3.28E-06,,
73,,0.0000069,0.0000011,0.00000076,9.38E-07,,
74,9.76E-10,0.0000071,0.00000091,0.0000003,1.33E-06,,
75,3.75E-09,0.000008,0.0000033,0.0000019,3.50E-06,,
76,8.85E-09,0.000038,0.000017,0.00001,7.36E-06,,
77,8.87E-09,0.000075,0.000027,0.000018,1.05E-05,,
78,2.69E-09,0.00007,0.000028,0.000018,1.17E-05,,
79,4.12E-10,0.000035,0.000018,0.0000084,8.46E-06,,
80,4.33E-11,0.000008,0.0000038,0.0000012,6.92E-06,,
81,1.47E-12,0.000013,0.0000019,0.00000059,6.40E-06,,
82,5.83E-12,0.000012,0.0000022,0.00000045,5.41E-06,,
83,4.69E-11,0.000007,0.0000014,0.00000029,2.90E-06,,
84,1.06E-09,0.0000054,0.0000012,0.00000034,1.97E-06,,
85,4.98E-09,0.0000085,0.0000032,0.00000095,3.83E-06,,
86,1.31E-08,0.000024,0.000013,0.0000059,8.06E-06,,
87,1.45E-08,0.000059,0.000035,0.000013,1.28E-05,,
88,8.85E-09,0.00008,0.000046,0.00002,9.45E-06,,
89,2.49E-09,0.000068,0.000032,0.000018,1.48E-05,,
90,4.89E-10,0.000027,0.0000085,0.0000067,1.17E-05,,
91,,,,,,,
115,2.59E-09,,,,,0.000000015,3.50E-10
116,1.23E-08,,,,,,5.50E-10
117,3.01E-08,,,,,,8.00E-10
118,3.84E-08,,,,,,1.80E-10
119,3.57E-08,,,,,,2.50E-10
120,2.07E-08,,,,,,1.60E-10
121,6.74E-09,,,,,8.50E-09,1.50E-10
122,2.35E-09,,,,,,1.30E-10
123,4.28E-10,,,,,,6.90E-11
124,6.10E-10,,,,,,1.40E-10
125,2.40E-09,,,,,,1.30E-10
