bp,0HU,DNA,1HU/600bp,1HU/1500bp,10 nM HU,4 nM HU
105,2.31E-11,1.40E-12,,,,
106,2.29E-11,2.00E-12,,,,
107,1.72E-11,1.70E-12,,,,
108,7.91E-12,,,,,
109,2.69E-12,,,,,
110,6.08E-13,,,,,
111,1.40E-13,,,,,
112,9.35E-13,,,,,
113,1.21E-11,,,,,
114,2.63E-11,2.00E-12,,,,
115,5.78E-11,6.00E-12,,,,
116,8.13E-11,1.00E-11,,,,
117,8.06E-11,9.50E-12,,,,
118,4.09E-11,6.70E-12,,,,
119,1.43E-11,,,,,
120,4.64E-12,,,,,
121,9.50E-13,,,,,
122,2.81E-12,,,,,
123,1.62E-11,4.00E-12,,,,
124,5.35E-11,7.00E-12,,,,
125,1.39E-10,2.00E-11,,,,
126,1.93E-10,3.30E-11,,,,
127,2.18E-10,2.80E-11,,,,
128,1.59E-10,4.80E-11,,,,
129,8.79E-11,1.40E-11,,,,
130,2.69E-11,5.50E-12,,,,
131,,,,,,
196,2.96E-09,4.30E-09,1.53E-07,,2.12E-07,
197,9.28E-09,1.33E-08,1.28E-07,,1.68E-07,
198,1.23E-08,1.57E-08,1.47E-07,5.90E-08,1.79E-07,5.53E-08
199,7.46E-09,4.20E-09,2.18E-07,5.45E-08,2.95E-07,
200,2.10E-09,1.70E-09,2.41E-07,5.30E-08,2.84E-07,2.01E-08
201,2.98E-09,4.40E-09,2.85E-07,,1.74E-07,
