bp,0HU,DNA
237,2.34E-09,3.90E-09
238,4.90E-09,7.30E-09
239,1.12E-08,1.50E-08
240,1.94E-08,
241,2.66E-08,
242,3.37E-08,1.70E-08
243,2.83E-08,
244,2.20E-08,4.30E-09
245,1.27E-08,2.80E-09
246,6.00E-09,
247,3.41E-09,4.10E-09
248,4.22E-09,9.00E-09
249,9.14E-09,3.00E-08
250,1.82E-08,5.20E-08
251,2.93E-08,
252,3.82E-08,4.60E-08
253,3.94E-08,
254,3.09E-08,1.00E-08
255,,
337,8.48E-08,5.37E-08
338,6.97E-08,
339,5.21E-08,
340,3.55E-08,2.50E-08
341,2.17E-08,
342,2.01E-08,3.98E-08
343,2.72E-08,
344,4.27E-08,8.30E-08
345,6.44E-08,
346,8.13E-08,7.94E-08
347,9.08E-08,
348,8.42E-08,4.36E-08
349,6.74E-08,
350,4.75E-08,2.95E-08
